status,state,city,street,last_checked,longitude,latitude,scraped_datetime
working,MT,Billings,401 Main St,9/22/2022 14:48,-108.475139,45.805796,9/22/2022 17:00
working,NM,Espanola,1401 N Riverside,9/22/2022 14:49,-106.064005,36.012738,9/22/2022 17:00
inactive,NM,Santa Fe,55 Cities Of Gold Road,9/22/2022 14:48,-106.015095,35.884261,9/22/2022 17:00
working,TX,Pecos,5202 Hwy 285,9/22/2022 14:47,-103.480478,31.399328,9/22/2022 17:00
working,NM,Artesia,210 South First Street,9/22/2022 14:48,-104.397921,32.84041,9/22/2022 17:00
working,MT,Billings,4902 Southgate Dr,9/22/2022 14:49,-108.536791,45.754877,9/22/2022 17:00
working,MT,Billings,1046 Grand Ave,9/22/2022 14:48,-108.542685,45.783746,9/22/2022 17:00
broken,NM,Santa Fe,1007 So St Francis Drive,9/22/2022 14:47,-105.953079,35.676692,9/22/2022 17:00
working,MT,Billings,2333 Central Ave,9/22/2022 14:48,-108.575258,45.770084,9/22/2022 17:00
working,NM,Santa Fe,1621 Pacheco St,9/22/2022 14:49,-105.958806,35.660022,9/22/2022 17:00
working,MT,Billings,3003 Grand Ave,9/22/2022 14:48,-108.590751,45.78461,9/22/2022 17:00
working,CO,New Castle,811 Castle Valley Blvd,9/22/2022 14:47,-107.51728,39.568585,9/22/2022 17:00
working,MT,Billings,910 Shiloh Crossing Blvd,9/22/2022 14:48,-108.616475,45.752371,9/22/2022 17:00
working,NM,Carlsbad,327 S Canal,9/22/2022 14:49,-104.229415,32.417047,9/22/2022 17:00
working,NM,Santa Fe,3299 Cerrillos Rd,9/22/2022 14:48,-106.001049,35.650204,9/22/2022 17:00
broken,NM,Carlsbad,2311 W Pierce,9/22/2022 14:47,-104.255339,32.438569,9/22/2022 17:00
working,WY,Riverton,813 N Federal Blvd,9/22/2022 14:48,-108.379929,43.032001,9/22/2022 17:00
broken,NM,Santa Fe,5020 Promenade Blvd,9/22/2022 14:49,-106.029312,35.618299,9/22/2022 17:00
broken,NM,Santa Fe,6419 Airport Rd.,9/22/2022 14:48,-106.043698,35.636302,9/22/2022 17:00
working,MT,Laurel,301 Se 4th Street,9/22/2022 14:47,-108.768258,45.665677,9/22/2022 17:00
broken,WY,Powell,111 N Evarts St,9/22/2022 14:48,-108.75276,44.753349,9/22/2022 17:00
